origin,is_covid,n_articles,zero_pct,RMSE_naive,RMSE_ma4,RMSE_croston,RMSE_lgb,MAE_naive,MAE_lgb,MAPE_naive,MAPE_lgb,delta_pct
2019-09-30,False,7873,84.9,6.094851268927467,5.189042665813089,8.991015080039293,4.406254603405867,1.1502603835894831,0.75176772192018,94.5463721219249,55.05893982334875,-27.70529732415847
2019-10-07,False,7873,86.3,3.6489203315400824,5.420431068735516,8.343710615107128,3.440533916291744,0.7016385113679665,0.5415511008725975,79.6339358515637,55.95407204498962,-5.710906139745334
2019-10-14,False,7873,86.6,3.2626854307444932,4.994541666919366,7.749468385147096,3.053157639602314,0.606249206147593,0.48129070368931043,75.33284338080189,57.42736689796117,-6.421942770448711
2019-10-21,False,7873,87.3,3.3625314204724424,4.324769482979346,7.999479052188263,3.7496771688106127,0.5986282230407722,0.5586545326086808,77.56801725374787,53.48479585848129,11.513520616672055
2019-10-28,False,7873,87.7,3.076256779414668,4.007967304999807,8.050638892148411,3.349391624626901,0.5912612727041788,0.5201359080600425,72.814438636902,47.98031855547238,8.878805145265014
2019-11-04,False,7873,88.8,3.4736218159522076,3.7794358909100843,6.295802000008876,2.150733722593401,0.5794487488886066,0.34772892367665226,85.69698831267291,49.50301851288237,-38.083826146058726
2019-11-11,False,7873,88.8,2.351441531650044,3.116323850739876,5.797079541273054,2.1429304827342572,0.4178839070240061,0.31235742921339993,68.90210867836068,45.116864842720354,-8.867371189513316
2019-11-18,False,7873,89.1,2.369601936342988,3.057836941338111,5.29537278180354,2.146734313046332,0.4053092848977518,0.33527082766674815,71.53129821844895,63.1603367542178,-9.405276889696001
2019-11-25,False,7873,86.3,7.7821621355589885,7.099397384544399,10.441563896722302,8.683396108111403,1.3195732249460181,1.3968602604712594,73.89565128851956,53.75957159036658,11.580765818722934
2019-12-02,False,7873,89.4,8.138690480567083,4.12453689343319,5.532618396645645,5.6414609155651325,1.392099580845929,0.8669910189132854,181.97018462592743,122.99959108641954,-30.68343207011787
2019-12-09,False,7873,89.3,3.2351626156581865,4.019292710862514,5.8376584112046705,2.973852679464605,0.49168042677505397,0.3813951903259471,83.66471604947705,52.400895889529785,-8.077180878909813
2019-12-16,False,7873,86.1,5.51586283294102,5.654470865806952,7.471623539679825,5.267110932095943,0.9747237393623778,0.848916497815765,78.66548763929106,63.26316200749994,-4.5097550171029965
2019-12-23,False,7873,85.6,3.39600261124044,4.523368554112836,5.999384121606097,2.732536786153025,0.6703924806300012,0.5041876900677775,85.23053476850319,61.360787275843634,-19.536670051177442
2019-12-30,False,7873,86.2,4.397714843707378,5.14984794804386,7.694642955432616,4.47259243474933,0.7419027054490029,0.6577285869335053,74.37670430571104,57.493944650604774,1.7026477091640742
2020-01-06,False,7873,86.6,4.217839367708566,5.727595946672334,8.414730914012729,4.305201592135022,0.7623523434523053,0.6775335182158304,78.85851679724412,63.28145993824589,2.0712553705884074
2020-01-13,False,7873,86.8,4.3927298111424955,4.987417484428003,7.76241035057751,3.7250668794694914,0.7440619839959355,0.6033823483665849,79.13136583054047,62.234467358976495,-15.199271532235512
2020-01-20,False,7873,86.7,3.776309124776222,4.732523150658952,7.641129366579541,3.404493086333352,0.6890638892417121,0.5743936322293172,73.39726118845908,56.93735588893285,-9.846017001187723
2020-01-27,False,7873,86.1,3.770957357940024,4.782681197674331,7.12119143936852,2.9795630510614384,0.6827130699860282,0.5246783422405239,74.53211491695468,54.089593068018345,-20.986562078519597
2020-02-03,False,7873,84.5,3.431017133786398,5.212098495109549,7.854788799016457,3.451022520321641,0.7252635589991109,0.6049105148498596,69.43924977664226,50.14909097447943,0.5830745156660069
2020-02-10,False,7873,85.1,3.6035074718011635,4.797371529628858,7.526226756175501,3.0990409694352077,0.7243744443033151,0.563526554826407,72.0377439480927,56.529847883346044,-13.999318894538193
2020-02-17,False,7873,84.5,3.2863276150508725,4.8076506754492065,8.429112196465532,3.0809391451300296,0.6843642829925061,0.603294597302233,68.60562567759607,61.65511238477244,-6.249786813103945
2020-02-24,False,7873,84.6,3.548380932190617,4.746488202912085,9.361960945386878,3.8078041501801763,0.7675600152419663,0.6910227638523986,71.41942271080207,51.70066007418993,7.31103066291709
2020-03-02,True,7873,83.8,5.316431896846482,5.928288804912588,9.98237805844831,5.118312994452058,0.9886955417248825,0.8485189376375873,74.91594925344324,55.061755985868686,-3.726538893725718
2020-03-09,True,7873,84.4,4.421823297605243,5.624147337889798,9.099835284026977,3.98807771444803,0.9113425631906515,0.7466437026677003,79.45731433902348,66.11628389474109,-9.809202086209998
2020-03-16,True,7873,86.3,5.759853964588204,6.593218652422626,8.990890182554454,5.166292968483091,1.058300520767179,0.8803903509645937,118.77185130381164,96.3530346203908,-10.305139674622783
2020-03-23,True,7873,86.8,6.4788687184139855,8.319142517354592,12.307816741790724,7.332250214151318,1.09043566620094,1.149750960433261,70.42744118840778,60.0693098879454,13.171767060380239
2020-03-30,True,7873,86.2,7.021387732154762,9.962524246832656,14.824521300043207,7.137198177018332,1.3514543376095516,1.3252225034995369,77.2940680496884,62.337079482648704,1.649395379964712
2020-04-06,True,7873,84.7,11.576144129958228,14.307835252941015,19.210188033013726,11.439547839062522,2.202464117871205,2.1916735754250043,85.44845480788126,70.6837966001412,-1.1799809104156296
2020-04-13,True,7873,87.9,12.215267186806248,9.835606941853918,13.0041502047986,9.327967251818402,2.276895719547822,1.6942960326867593,199.36739443438503,149.16330477281232,-23.636813594273473
2020-04-20,True,7873,87.3,8.252893445469818,10.043709250885433,14.348204449015416,9.980795195078755,1.5094627206909692,1.7761940568187706,92.34104765530053,65.9635601128559,20.936920620941958
2020-04-27,True,7873,88.2,8.400976154926633,9.631955242497307,10.671317595732377,6.747381152387153,1.4281722342182142,1.1356553645369363,121.27836677770941,101.21859329386204,-19.683367409271273
2020-05-04,True,7873,83.9,7.125554700185966,9.237800527866925,11.248586852951071,7.354199687007233,1.3598374190270546,1.2546533699518363,92.26236281816496,59.17421822534962,3.2088026328013353
2020-05-11,True,7873,81.9,7.609441146608515,8.560830516291489,11.733151919600775,7.322565637101427,1.3843515813539946,1.3028678286051705,74.21713136129924,57.43272049168123,-3.7699944579366
2020-05-18,True,7873,81.7,6.12144753334271,8.716160909825481,13.315559807205428,6.929999253623738,1.2627969008002031,1.3336486365499836,69.56827749832975,56.93939720869591,13.20850527390709
2020-05-25,True,7873,81.4,6.806296350544213,8.334990838166718,14.023918350487097,6.7795422611076726,1.2836275879588468,1.259462679946107,72.14377772128195,57.36492039992335,-0.3930785269789371
2020-06-01,True,7873,81.8,6.8404361053977,6.754629805960665,11.616508529326758,5.442119768584038,1.3458656166645497,1.0307529191663005,90.28025418559238,62.14341035178618,-20.44191796061465
2020-06-08,True,7873,81.9,7.214342799570993,7.8459482440681745,11.881048956227138,6.700098449056612,1.2185951987806427,1.0494392227483138,79.88867101657556,55.61526047525358,-7.128083108900242
2020-06-15,True,7873,81.2,9.313185538246739,9.493491523311542,15.579024160233303,8.429759262987274,1.736313984504001,1.6209258909387283,83.8404051326601,76.57101945711719,-9.485758354447809
2020-06-22,True,7873,80.7,9.701299081117854,11.502582836656162,18.082551579083233,9.683113466630896,1.8177314873618697,1.8564189784833982,75.14351118460155,64.0322371891428,-0.18745545658265206
2020-06-29,True,7873,81.6,9.662348605100785,8.492301281858586,14.34072700961628,6.999343184929832,1.9963165248317032,1.4166117733205565,113.1024509772776,74.53911246983401,-27.560643162524105
2020-07-06,True,7873,82.9,7.135111657610502,8.292478656806617,12.066380268106823,5.753642289714353,1.4564968880985647,1.1265830345109757,92.64482091651693,64.44540033537605,-19.361566212108773
2020-07-13,True,7873,82.7,6.372213591734161,8.436817347520169,11.81362893732663,5.711933568963681,1.2142766416867776,1.0577554029488299,79.34491301823113,55.861770084819916,-10.361862691278503
2020-07-20,True,7873,82.2,6.01539157966674,8.42702637905528,12.530376690088097,6.0729930653894675,1.2069096913501842,1.1549177058930693,67.45058156139798,52.10104142742678,0.9575683471286008
