STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2020-08,,-0.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2020-09,,-0.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2018-09,,2.1,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2018-10,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2018-11,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2018-12,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-01,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-02,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-03,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-04,,1.1,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-05,,1.1,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-06,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-07,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-08,,1.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-09,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-10,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-11,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2019-12,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-01,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-02,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-03,,2.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-04,,3.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-05,,3.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-06,,3.0,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-07,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-08,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01,Food and non-alcoholic beverages,EA20,Euro area – 20 countries (2023-2025),2020-09,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2018-09,,2.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2018-10,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2018-11,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2018-12,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-01,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-02,,1.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-03,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-04,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-05,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-06,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-07,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-08,,2.0,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-09,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-10,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-11,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2019-12,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-01,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-02,,1.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-03,,2.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-04,,3.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-05,,3.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-06,,3.1,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-07,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-08,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP011,Food,EA20,Euro area – 20 countries (2023-2025),2020-09,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2018-09,,1.1,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2018-10,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2018-11,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2018-12,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-01,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-02,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-03,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-04,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-05,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-06,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-07,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-08,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-09,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-10,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-11,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2019-12,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-01,,1.0,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-02,,0.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-03,,1.0,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-04,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-05,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-06,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-07,,0.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-08,,0.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP0111,Bread and cereals,EA20,Euro area – 20 countries (2023-2025),2020-09,,0.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2018-09,,0.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2018-10,,0.5,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2018-11,,0.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2018-12,,0.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-01,,1.0,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-02,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-03,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-04,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-05,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-06,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-07,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-08,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-09,,2.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-10,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-11,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2019-12,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2020-01,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2020-02,,0.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2020-03,,2.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2020-04,,1.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2020-05,,2.6,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP01111,Rice,EA20,Euro area – 20 countries (2023-2025),2020-06,,1.5,,,,,
