STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic,Indicator,s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-02,,-5.0,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-03,,-11.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-04,,-23.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-05,,-18.2,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-06,,-11.9,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-07,,-12.4,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-08,,-12.4,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-09,,-11.5,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-09,,-4.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-10,,-3.9,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-11,,-4.5,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-12,,-5.9,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-01,,-5.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-02,,-5.2,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-03,,-4.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-04,,-5.4,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-05,,-5.0,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-06,,-5.6,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-07,,-5.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-08,,-5.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-09,,-5.4,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-10,,-5.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-11,,-5.2,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-12,,-6.3,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-01,,-5.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-02,,-4.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-03,,-10.9,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-04,,-23.3,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-05,,-19.1,,,,,
